Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
,3,"Tether
 
USDT
 
USDT",$1.00,-0.1%,-0.6%,-0.0%,"$99,816,549,374","$62,065,495,051",,,,,
,8,"USD Coin
 
USDC
 
USDC",$1.00,-0.1%,0.3%,0.4%,"$3,345,985,404","$22,631,308,161",,,,,
,11,"Uniswap
 
UNI
 
UNI",$26.80,2.4%,7.1%,58.5%,"$887,510,424","$13,850,618,013",,,,,
,13,"Chainlink
 
LINK
 
LINK",$28.83,2.1%,1.6%,43.4%,"$1,968,471,860","$12,328,445,891",,,,,
,15,"Polygon
 
MATIC
 
MATIC",$1.88,0.3%,-0.3%,71.0%,"$4,183,460,756","$11,740,850,577",,,,,
,19,"Binance USD
 
BUSD
 
BUSD",$1.00,-0.7%,0.3%,0.5%,"$5,099,811,721","$8,687,179,076",,,,,
,21,"Wrapped Bitcoin
 
WBTC
 
WBTC","$36,994.32",0.6%,3.1%,6.4%,"$340,577,204","$6,860,962,809",,,,,
,27,"Aave
 
AAVE
 
AAVE",$360.59,0.8%,9.4%,21.6%,"$538,430,987","$4,595,071,543",,,,,
,28,"Dai
 
DAI
 
DAI",$1.00,-0.1%,-0.3%,-0.0%,"$486,075,099","$4,439,299,386",,,,,
,29,"Shiba Inu
 
SHIB
 
SHIB",$0.00000804,1.0%,2.8%,-1.9%,"$389,898,180","$4,005,334,089",,,,,
,31,"OKB
 
OKB
 
OKB",$13.71,1.8%,6.1%,11.7%,"$668,831,281","$3,697,341,577",,,,,
,33,"cETH
 
CETH
 
CETH",$51.09,2.2%,5.4%,20.5%,"$19,873,750","$3,399,361,529",,,,,
,35,"cDAI
 
CDAI
 
CDAI",$0.02155863,0.1%,-0.1%,-2.3%,"$81,182,052","$3,199,550,034",,,,,
,36,"Crypto.com Coin
 
CRO
 
CRO",$0.126552,0.4%,9.1%,29.0%,"$92,809,813","$3,193,114,237",,,,,
,38,"Maker
 
MKR
 
MKR","$3,501.97",0.3%,6.9%,26.9%,"$207,260,420","$3,144,209,096",,,,,
,39,"cUSDC
 
CUSDC
 
CUSDC",$0.02212211,0.3%,0.1%,-0.0%,"$388,287,338","$3,135,912,751",,,,,
,40,"Celsius Network
 
CEL
 
CEL",$7.27,0.2%,1.1%,16.5%,"$34,590,019","$3,073,127,477",,,,,
,46,"FTX Token
 
FTT
 
FTT",$33.17,1.3%,3.4%,22.3%,"$112,750,033","$2,885,479,654",,,,,
